location,population,date,HighestInfectionCount,HighestDeathCount,PercentPopulationInfected,PercentPopulationDeath
Australia,26177410.0,16/11/2022,10493919.0,15899.0,40.09,0.06
Australia,26177410.0,15/11/2022,10490669.0,15891.0,40.08,0.06
Australia,26177410.0,14/11/2022,10487217.0,15881.0,40.06,0.06
Australia,26177410.0,13/11/2022,10484025.0,15870.0,40.05,0.06
Australia,26177410.0,12/11/2022,10479214.0,15870.0,40.03,0.06
Australia,26177410.0,11/11/2022,10472100.0,15873.0,40.0,0.06
Australia,26177410.0,10/11/2022,10458954.0,15855.0,39.95,0.06
Australia,26177410.0,09/11/2022,10429996.0,15817.0,39.84,0.06
Australia,26177410.0,08/11/2022,10426939.0,15808.0,39.83,0.06
Australia,26177410.0,07/11/2022,10423566.0,15792.0,39.82,0.06
Australia,26177410.0,06/11/2022,10420857.0,15786.0,39.81,0.06
Australia,26177410.0,05/11/2022,10418986.0,15786.0,39.8,0.06
Australia,26177410.0,04/11/2022,10417273.0,15786.0,39.79,0.06
Australia,26177410.0,03/11/2022,10402713.0,15721.0,39.74,0.06
Australia,26177410.0,01/11/2022,10381125.0,15665.0,39.66,0.06
Australia,26177410.0,02/11/2022,10383005.0,15678.0,39.66,0.06
Australia,26177410.0,31/10/2022,10379442.0,15665.0,39.65,0.06
Australia,26177410.0,28/10/2022,10375475.0,15660.0,39.64,0.06
Australia,26177410.0,29/10/2022,10376653.0,15660.0,39.64,0.06
Australia,26177410.0,30/10/2022,10377788.0,15660.0,39.64,0.06
Australia,26177410.0,27/10/2022,10364635.0,15636.0,39.59,0.06
Australia,26177410.0,25/10/2022,10346805.0,15586.0,39.53,0.06
Australia,26177410.0,26/10/2022,10348288.0,15589.0,39.53,0.06
Australia,26177410.0,24/10/2022,10345256.0,15580.0,39.52,0.06
Australia,26177410.0,21/10/2022,10341878.0,15569.0,39.51,0.06
Australia,26177410.0,22/10/2022,10342827.0,15569.0,39.51,0.06
Australia,26177410.0,23/10/2022,10343747.0,15569.0,39.51,0.06
Australia,26177410.0,20/10/2022,10341058.0,15530.0,39.5,0.06
Australia,26177410.0,18/10/2022,10312818.0,15490.0,39.4,0.06
Australia,26177410.0,19/10/2022,10313911.0,15496.0,39.4,0.06
Australia,26177410.0,16/10/2022,10310525.0,15475.0,39.39,0.06
Australia,26177410.0,17/10/2022,10311612.0,15487.0,39.39,0.06
Australia,26177410.0,13/10/2022,10308233.0,15446.0,39.38,0.06
Australia,26177410.0,14/10/2022,10309104.0,15475.0,39.38,0.06
Australia,26177410.0,15/10/2022,10309725.0,15475.0,39.38,0.06
Australia,26177410.0,12/10/2022,10281387.0,15399.0,39.28,0.06
Australia,26177410.0,10/10/2022,10278831.0,15383.0,39.27,0.06
Australia,26177410.0,11/10/2022,10280150.0,15389.0,39.27,0.06
Australia,26177410.0,08/10/2022,10276500.0,15369.0,39.26,0.06
Australia,26177410.0,09/10/2022,10277539.0,15369.0,39.26,0.06
Australia,26177410.0,06/10/2022,10275165.0,15330.0,39.25,0.06
Australia,26177410.0,07/10/2022,10275681.0,15369.0,39.25,0.06
Australia,26177410.0,04/10/2022,10244727.0,15234.0,39.14,0.06
Australia,26177410.0,05/10/2022,10246170.0,15249.0,39.14,0.06
Australia,26177410.0,03/10/2022,10243195.0,15228.0,39.13,0.06
Australia,26177410.0,01/10/2022,10240631.0,15221.0,39.12,0.06
Australia,26177410.0,02/10/2022,10241739.0,15221.0,39.12,0.06
Australia,26177410.0,30/09/2022,10239653.0,15221.0,39.12,0.06
Australia,26177410.0,29/09/2022,10238422.0,15171.0,39.11,0.06
Australia,26177410.0,28/09/2022,10209239.0,14984.0,39.0,0.06
Australia,26177410.0,26/09/2022,10205957.0,14950.0,38.99,0.06
Australia,26177410.0,27/09/2022,10207587.0,14963.0,38.99,0.06
Australia,26177410.0,25/09/2022,10204195.0,14928.0,38.98,0.06
Australia,26177410.0,23/09/2022,10201791.0,14925.0,38.97,0.06
Australia,26177410.0,24/09/2022,10201791.0,14925.0,38.97,0.06
Australia,26177410.0,22/09/2022,10199774.0,14924.0,38.96,0.06
Australia,26177410.0,21/09/2022,10164301.0,14820.0,38.83,0.06
Australia,26177410.0,19/09/2022,10161241.0,14783.0,38.82,0.06
Australia,26177410.0,20/09/2022,10162809.0,14787.0,38.82,0.06
Australia,26177410.0,17/09/2022,10158445.0,14759.0,38.81,0.06
Australia,26177410.0,18/09/2022,10159613.0,14763.0,38.81,0.06
Australia,26177410.0,16/09/2022,10157316.0,14749.0,38.8,0.06
Australia,26177410.0,15/09/2022,10150636.0,14624.0,38.78,0.06
Australia,26177410.0,13/09/2022,10122875.0,14458.0,38.67,0.06
Australia,26177410.0,14/09/2022,10122875.0,14458.0,38.67,0.06
Australia,26177410.0,11/09/2022,10119203.0,14432.0,38.66,0.06
Australia,26177410.0,12/09/2022,10121004.0,14457.0,38.66,0.06
Australia,26177410.0,10/09/2022,10114810.0,14426.0,38.64,0.06
Australia,26177410.0,08/09/2022,10111190.0,14359.0,38.63,0.05
Australia,26177410.0,09/09/2022,10111728.0,14421.0,38.63,0.06
Australia,26177410.0,07/09/2022,10103268.0,14275.0,38.6,0.05
Australia,26177410.0,06/09/2022,10095000.0,14214.0,38.56,0.05
Australia,26177410.0,05/09/2022,10083201.0,14145.0,38.52,0.05
Australia,26177410.0,04/09/2022,10072887.0,14077.0,38.48,0.05
Australia,26177410.0,03/09/2022,10066729.0,14067.0,38.46,0.05
Australia,26177410.0,02/09/2022,10060794.0,14053.0,38.43,0.05
Australia,26177410.0,01/09/2022,10051647.0,13999.0,38.4,0.05
Australia,26177410.0,31/08/2022,10042081.0,13961.0,38.36,0.05
Australia,26177410.0,30/08/2022,10030575.0,13900.0,38.32,0.05
Australia,26177410.0,29/08/2022,10018037.0,13834.0,38.27,0.05
Australia,26177410.0,28/08/2022,10005856.0,13760.0,38.22,0.05
Australia,26177410.0,27/08/2022,9997168.0,13749.0,38.19,0.05
Australia,26177410.0,26/08/2022,9987913.0,13734.0,38.15,0.05
Australia,26177410.0,25/08/2022,9976736.0,13647.0,38.11,0.05
Australia,26177410.0,24/08/2022,9960539.0,13534.0,38.05,0.05
Australia,26177410.0,23/08/2022,9948913.0,13517.0,38.01,0.05
Australia,26177410.0,22/08/2022,9933888.0,13456.0,37.95,0.05
Australia,26177410.0,21/08/2022,9922249.0,13369.0,37.9,0.05
Australia,26177410.0,20/08/2022,9911819.0,13360.0,37.86,0.05
Australia,26177410.0,19/08/2022,9902669.0,13325.0,37.83,0.05
Australia,26177410.0,18/08/2022,9887674.0,13229.0,37.77,0.05
Australia,26177410.0,17/08/2022,9870588.0,13153.0,37.71,0.05
Australia,26177410.0,16/08/2022,9849574.0,13024.0,37.63,0.05
Australia,26177410.0,15/08/2022,9828745.0,12954.0,37.55,0.05
Cook Islands,17032.0,01/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,01/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,02/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,02/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,03/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,03/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,04/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,04/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,05/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,05/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,06/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,06/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,07/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,07/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,08/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,08/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,09/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,09/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,10/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,10/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,11/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,11/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,12/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,12/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,13/09/2022,6388.0,1.0,37.51,0.01
Cook Islands,17032.0,13/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,13/11/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,14/09/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,14/10/2022,6389.0,1.0,37.51,0.01
Cook Islands,17032.0,14/11/2022,6389.0,1.0,37.51,0.01
