location,population,date,HighestInfectionCount,HighestDeathCount,PercentPopulationInfected,PercentPopulationDeath
Brunei,449002.0,15/11/2022,248861.0,225.0,55.43,0.05
Brunei,449002.0,16/11/2022,248861.0,225.0,55.43,0.05
Brunei,449002.0,09/11/2022,244599.0,225.0,54.48,0.05
Brunei,449002.0,10/11/2022,244599.0,225.0,54.48,0.05
Brunei,449002.0,11/11/2022,244599.0,225.0,54.48,0.05
Brunei,449002.0,12/11/2022,244599.0,225.0,54.48,0.05
Brunei,449002.0,13/11/2022,244599.0,225.0,54.48,0.05
Brunei,449002.0,14/11/2022,244599.0,225.0,54.48,0.05
Brunei,449002.0,02/11/2022,241044.0,225.0,53.68,0.05
Brunei,449002.0,03/11/2022,241044.0,225.0,53.68,0.05
Brunei,449002.0,04/11/2022,241044.0,225.0,53.68,0.05
Brunei,449002.0,05/11/2022,241044.0,225.0,53.68,0.05
Brunei,449002.0,06/11/2022,241044.0,225.0,53.68,0.05
Brunei,449002.0,07/11/2022,241044.0,225.0,53.68,0.05
Brunei,449002.0,08/11/2022,241044.0,225.0,53.68,0.05
Brunei,449002.0,01/11/2022,237656.0,225.0,52.93,0.05
Brunei,449002.0,25/10/2022,237656.0,225.0,52.93,0.05
Brunei,449002.0,26/10/2022,237656.0,225.0,52.93,0.05
Brunei,449002.0,27/10/2022,237656.0,225.0,52.93,0.05
Brunei,449002.0,28/10/2022,237656.0,225.0,52.93,0.05
Brunei,449002.0,29/10/2022,237656.0,225.0,52.93,0.05
Brunei,449002.0,30/10/2022,237656.0,225.0,52.93,0.05
Brunei,449002.0,31/10/2022,237656.0,225.0,52.93,0.05
Brunei,449002.0,18/10/2022,234582.0,225.0,52.25,0.05
Brunei,449002.0,19/10/2022,234582.0,225.0,52.25,0.05
Brunei,449002.0,20/10/2022,234582.0,225.0,52.25,0.05
Brunei,449002.0,21/10/2022,234582.0,225.0,52.25,0.05
Brunei,449002.0,22/10/2022,234582.0,225.0,52.25,0.05
Brunei,449002.0,23/10/2022,234582.0,225.0,52.25,0.05
Brunei,449002.0,24/10/2022,234582.0,225.0,52.25,0.05
Brunei,449002.0,11/10/2022,231833.0,225.0,51.63,0.05
Brunei,449002.0,12/10/2022,231833.0,225.0,51.63,0.05
Brunei,449002.0,13/10/2022,231833.0,225.0,51.63,0.05
Brunei,449002.0,14/10/2022,231833.0,225.0,51.63,0.05
Brunei,449002.0,15/10/2022,231833.0,225.0,51.63,0.05
Brunei,449002.0,16/10/2022,231833.0,225.0,51.63,0.05
Brunei,449002.0,17/10/2022,231833.0,225.0,51.63,0.05
Brunei,449002.0,04/10/2022,229665.0,225.0,51.15,0.05
Brunei,449002.0,05/10/2022,229665.0,225.0,51.15,0.05
Brunei,449002.0,06/10/2022,229665.0,225.0,51.15,0.05
Brunei,449002.0,07/10/2022,229665.0,225.0,51.15,0.05
Brunei,449002.0,08/10/2022,229665.0,225.0,51.15,0.05
Brunei,449002.0,09/10/2022,229665.0,225.0,51.15,0.05
Brunei,449002.0,10/10/2022,229665.0,225.0,51.15,0.05
South Korea,51815808.0,16/11/2022,26412901.0,29862.0,50.97,0.06
South Korea,51815808.0,15/11/2022,26357464.0,29795.0,50.87,0.06
South Korea,51815808.0,14/11/2022,26290877.0,29748.0,50.74,0.06
Brunei,449002.0,01/10/2022,227756.0,225.0,50.72,0.05
Brunei,449002.0,02/10/2022,227756.0,225.0,50.72,0.05
Brunei,449002.0,03/10/2022,227756.0,225.0,50.72,0.05
Brunei,449002.0,28/09/2022,227756.0,225.0,50.72,0.05
Brunei,449002.0,29/09/2022,227756.0,225.0,50.72,0.05
Brunei,449002.0,30/09/2022,227756.0,225.0,50.72,0.05
South Korea,51815808.0,13/11/2022,26217994.0,29709.0,50.6,0.06
South Korea,51815808.0,12/11/2022,26194229.0,29665.0,50.55,0.06
South Korea,51815808.0,11/11/2022,26145764.0,29617.0,50.46,0.06
Brunei,449002.0,20/09/2022,226237.0,225.0,50.39,0.05
Brunei,449002.0,21/09/2022,226237.0,225.0,50.39,0.05
Brunei,449002.0,22/09/2022,226237.0,225.0,50.39,0.05
Brunei,449002.0,23/09/2022,226237.0,225.0,50.39,0.05
Brunei,449002.0,24/09/2022,226237.0,225.0,50.39,0.05
Brunei,449002.0,25/09/2022,226237.0,225.0,50.39,0.05
Brunei,449002.0,26/09/2022,226237.0,225.0,50.39,0.05
Brunei,449002.0,27/09/2022,226237.0,225.0,50.39,0.05
South Korea,51815808.0,10/11/2022,26091539.0,29571.0,50.35,0.06
South Korea,51815808.0,09/11/2022,26037020.0,29531.0,50.25,0.06
South Korea,51815808.0,08/11/2022,25981655.0,29479.0,50.14,0.06
Brunei,449002.0,14/09/2022,224610.0,225.0,50.02,0.05
Brunei,449002.0,15/09/2022,224610.0,225.0,50.02,0.05
Brunei,449002.0,16/09/2022,224610.0,225.0,50.02,0.05
Brunei,449002.0,17/09/2022,224610.0,225.0,50.02,0.05
Brunei,449002.0,18/09/2022,224610.0,225.0,50.02,0.05
Brunei,449002.0,19/09/2022,224610.0,225.0,50.02,0.05
South Korea,51815808.0,07/11/2022,25919183.0,29420.0,50.02,0.06
South Korea,51815808.0,06/11/2022,25856910.0,29390.0,49.9,0.06
South Korea,51815808.0,05/11/2022,25838239.0,29372.0,49.87,0.06
South Korea,51815808.0,04/11/2022,25801564.0,29354.0,49.79,0.06
Israel,9449000.0,16/11/2022,4700690.0,11804.0,49.75,0.12
Israel,9449000.0,15/11/2022,4699220.0,11801.0,49.73,0.12
Israel,9449000.0,14/11/2022,4697694.0,11794.0,49.72,0.12
South Korea,51815808.0,03/11/2022,25760701.0,29315.0,49.72,0.06
Israel,9449000.0,12/11/2022,4695853.0,11788.0,49.7,0.12
Israel,9449000.0,13/11/2022,4695853.0,11788.0,49.7,0.12
Israel,9449000.0,11/11/2022,4694836.0,11788.0,49.69,0.12
Brunei,449002.0,06/09/2022,223059.0,225.0,49.68,0.05
Brunei,449002.0,07/09/2022,223059.0,225.0,49.68,0.05
Brunei,449002.0,08/09/2022,223059.0,225.0,49.68,0.05
Brunei,449002.0,09/09/2022,223059.0,225.0,49.68,0.05
Brunei,449002.0,10/09/2022,223059.0,225.0,49.68,0.05
Brunei,449002.0,11/09/2022,223059.0,225.0,49.68,0.05
Brunei,449002.0,12/09/2022,223059.0,225.0,49.68,0.05
Brunei,449002.0,13/09/2022,223059.0,225.0,49.68,0.05
Israel,9449000.0,09/11/2022,4693146.0,11788.0,49.67,0.12
Israel,9449000.0,10/11/2022,4693662.0,11788.0,49.67,0.12
Israel,9449000.0,08/11/2022,4692154.0,11784.0,49.66,0.12
Israel,9449000.0,06/11/2022,4689152.0,11767.0,49.63,0.12
Israel,9449000.0,07/11/2022,4689152.0,11767.0,49.63,0.12
South Korea,51815808.0,02/11/2022,25717277.0,29280.0,49.63,0.06
Israel,9449000.0,05/11/2022,4688662.0,11767.0,49.62,0.12
Israel,9449000.0,03/11/2022,4687132.0,11767.0,49.6,0.12
Israel,9449000.0,04/11/2022,4687132.0,11767.0,49.6,0.12
Israel,9449000.0,01/11/2022,4685434.0,11767.0,49.59,0.12
Israel,9449000.0,02/11/2022,4686060.0,11766.0,49.59,0.12
Israel,9449000.0,31/10/2022,4684451.0,11767.0,49.58,0.12
Israel,9449000.0,29/10/2022,4682577.0,11759.0,49.56,0.12
Israel,9449000.0,30/10/2022,4683209.0,11763.0,49.56,0.12
Israel,9449000.0,28/10/2022,4681748.0,11759.0,49.55,0.12
Israel,9449000.0,27/10/2022,4681217.0,11759.0,49.54,0.12
South Korea,51815808.0,01/11/2022,25670407.0,29239.0,49.54,0.06
Israel,9449000.0,26/10/2022,4680385.0,11758.0,49.53,0.12
Israel,9449000.0,24/10/2022,4678728.0,11752.0,49.52,0.12
Israel,9449000.0,25/10/2022,4679547.0,11758.0,49.52,0.12
Israel,9449000.0,23/10/2022,4677921.0,11751.0,49.51,0.12
Israel,9449000.0,22/10/2022,4677053.0,11744.0,49.5,0.12
Israel,9449000.0,21/10/2022,4676493.0,11744.0,49.49,0.12
Israel,9449000.0,19/10/2022,4675027.0,11728.0,49.48,0.12
Israel,9449000.0,20/10/2022,4675414.0,11728.0,49.48,0.12
Israel,9449000.0,18/10/2022,4674056.0,11728.0,49.47,0.12
Israel,9449000.0,17/10/2022,4673402.0,11717.0,49.46,0.12
Israel,9449000.0,15/10/2022,4672492.0,11712.0,49.45,0.12
Israel,9449000.0,16/10/2022,4672722.0,11712.0,49.45,0.12
Israel,9449000.0,13/10/2022,4671334.0,11712.0,49.44,0.12
Israel,9449000.0,14/10/2022,4672048.0,11712.0,49.44,0.12
South Korea,51815808.0,31/10/2022,25615667.0,29209.0,49.44,0.06
Israel,9449000.0,12/10/2022,4670608.0,11712.0,49.43,0.12
Israel,9449000.0,11/10/2022,4669740.0,11710.0,49.42,0.12
Israel,9449000.0,09/10/2022,4668642.0,11710.0,49.41,0.12
Israel,9449000.0,10/10/2022,4668642.0,11710.0,49.41,0.12
Israel,9449000.0,06/10/2022,4666607.0,11710.0,49.39,0.12
Israel,9449000.0,07/10/2022,4667278.0,11710.0,49.39,0.12
Israel,9449000.0,08/10/2022,4667278.0,11710.0,49.39,0.12
Israel,9449000.0,04/10/2022,4666011.0,11706.0,49.38,0.12
Israel,9449000.0,05/10/2022,4666156.0,11706.0,49.38,0.12
