location,population,date,HighestInfectionCount,HighestDeathCount,PercentPopulationInfected,PercentPopulationDeath
Cyprus,896007.0,12/11/2022,606287.0,1210.0,67.67,0.14
Cyprus,896007.0,13/11/2022,606287.0,1210.0,67.67,0.14
Cyprus,896007.0,14/11/2022,606287.0,1210.0,67.67,0.14
Cyprus,896007.0,15/11/2022,606287.0,1210.0,67.67,0.14
Cyprus,896007.0,16/11/2022,606287.0,1210.0,67.67,0.14
Cyprus,896007.0,04/11/2022,602662.0,1200.0,67.26,0.13
Cyprus,896007.0,05/11/2022,602662.0,1200.0,67.26,0.13
Cyprus,896007.0,06/11/2022,602662.0,1200.0,67.26,0.13
Cyprus,896007.0,07/11/2022,602662.0,1200.0,67.26,0.13
Cyprus,896007.0,08/11/2022,602662.0,1200.0,67.26,0.13
Cyprus,896007.0,09/11/2022,602662.0,1200.0,67.26,0.13
Cyprus,896007.0,10/11/2022,602662.0,1200.0,67.26,0.13
Cyprus,896007.0,11/11/2022,602662.0,1200.0,67.26,0.13
Cyprus,896007.0,01/11/2022,599118.0,1194.0,66.87,0.13
Cyprus,896007.0,02/11/2022,599118.0,1194.0,66.87,0.13
Cyprus,896007.0,03/11/2022,599118.0,1194.0,66.87,0.13
Cyprus,896007.0,28/10/2022,599118.0,1194.0,66.87,0.13
Cyprus,896007.0,29/10/2022,599118.0,1194.0,66.87,0.13
Cyprus,896007.0,30/10/2022,599118.0,1194.0,66.87,0.13
Cyprus,896007.0,31/10/2022,599118.0,1194.0,66.87,0.13
Cyprus,896007.0,21/10/2022,596297.0,1191.0,66.55,0.13
Cyprus,896007.0,22/10/2022,596297.0,1191.0,66.55,0.13
Cyprus,896007.0,23/10/2022,596297.0,1191.0,66.55,0.13
Cyprus,896007.0,24/10/2022,596297.0,1191.0,66.55,0.13
Cyprus,896007.0,25/10/2022,596297.0,1191.0,66.55,0.13
Cyprus,896007.0,26/10/2022,596297.0,1191.0,66.55,0.13
Cyprus,896007.0,27/10/2022,596297.0,1191.0,66.55,0.13
Cyprus,896007.0,14/10/2022,593542.0,1189.0,66.24,0.13
Cyprus,896007.0,15/10/2022,593542.0,1189.0,66.24,0.13
Cyprus,896007.0,16/10/2022,593542.0,1189.0,66.24,0.13
Cyprus,896007.0,17/10/2022,593542.0,1189.0,66.24,0.13
Cyprus,896007.0,18/10/2022,593542.0,1189.0,66.24,0.13
Cyprus,896007.0,19/10/2022,593542.0,1189.0,66.24,0.13
Cyprus,896007.0,20/10/2022,593542.0,1189.0,66.24,0.13
Cyprus,896007.0,07/10/2022,590783.0,1187.0,65.94,0.13
Cyprus,896007.0,08/10/2022,590783.0,1187.0,65.94,0.13
Cyprus,896007.0,09/10/2022,590783.0,1187.0,65.94,0.13
Cyprus,896007.0,10/10/2022,590783.0,1187.0,65.94,0.13
Cyprus,896007.0,11/10/2022,590783.0,1187.0,65.94,0.13
Cyprus,896007.0,12/10/2022,590783.0,1187.0,65.94,0.13
Cyprus,896007.0,13/10/2022,590783.0,1187.0,65.94,0.13
Cyprus,896007.0,01/10/2022,587994.0,1182.0,65.62,0.13
Cyprus,896007.0,02/10/2022,587994.0,1182.0,65.62,0.13
Cyprus,896007.0,03/10/2022,587994.0,1182.0,65.62,0.13
Cyprus,896007.0,04/10/2022,587994.0,1182.0,65.62,0.13
Cyprus,896007.0,05/10/2022,587994.0,1182.0,65.62,0.13
Cyprus,896007.0,06/10/2022,587994.0,1182.0,65.62,0.13
Cyprus,896007.0,30/09/2022,587994.0,1182.0,65.62,0.13
Cyprus,896007.0,23/09/2022,585313.0,1180.0,65.32,0.13
Cyprus,896007.0,24/09/2022,585313.0,1180.0,65.32,0.13
Cyprus,896007.0,25/09/2022,585313.0,1180.0,65.32,0.13
Cyprus,896007.0,26/09/2022,585313.0,1180.0,65.32,0.13
Cyprus,896007.0,27/09/2022,585313.0,1180.0,65.32,0.13
Cyprus,896007.0,28/09/2022,585313.0,1180.0,65.32,0.13
Cyprus,896007.0,29/09/2022,585313.0,1180.0,65.32,0.13
Faeroe Islands,53117.0,01/04/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,01/05/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,01/06/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,01/07/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,01/08/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,01/09/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,01/10/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,01/11/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,02/03/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,02/04/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,02/05/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,02/06/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,02/07/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,02/08/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,02/09/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,02/10/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,02/11/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,03/03/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,03/04/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,03/05/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,03/06/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,03/07/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,03/08/2022,34658.0,28.0,65.25,0.05
Faeroe Islands,53117.0,03/09/2022,34658.0,28.0,65.25,0.05
